Dataset  ;Spectrum fi;ID       ;Time/ch  ;Fit min  ;Fit max  ;Chi-sqr/x;Std dev  ;Lifet-1  ;Std dev  ;Sigma-1  ;Std dev  ;Itens-1  ;Std dev  ;Lifet-2  ;Std dev  ;Sigma-2  ;Std dev  ;Itens-2  ;Std dev  ;LT_mean  ;Std dev  ;Bkg      ;Std dev  ;T0       ;Std dev  ;Area(fit)   ;Area(table) ;
   1     ;180_230.dat;00004  14;0.020000 ;1367     ;8284     ;33.463   ;0.017    ;0.6044   ;0.0000   ;0.0000   ;0.0000   ;*********;1049.3289;0.6044   ;0.0000   ;0.0000   ;0.0000   ;*********;1049.3289;1.2087   ;0.0004   ;8.5996   ;0.0350   ;1380.3173;0.0162   ;5.48387E+06 ;5.73500E+06 ;
   2     ;180_230.dat;00005  14;0.020000 ;1367     ;8284     ;31.417   ;0.017    ;0.6243   ;0.0000   ;0.0000   ;0.0000   ;*********;151.0880 ;0.6244   ;0.0000   ;0.0000   ;0.0000   ;*********;151.0880 ;0.4810   ;0.0004   ;8.6101   ;0.0350   ;1380.1132;0.0097   ;5.49910E+06 ;5.73500E+06 ;
   3     ;180_230.dat;00006  14;0.020000 ;1367     ;8284     ;33.742   ;0.017    ;0.5996   ;0.0000   ;0.0000   ;0.0000   ;*********;137.0501 ;0.5995   ;0.0000   ;0.0000   ;0.0000   ;*********;137.0501 ;0.4713   ;0.0003   ;8.6317   ;0.0351   ;1380.4455;0.0161   ;5.48199E+06 ;5.73500E+06 ;
