Spectr,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table),Unnamed: 28
19.dat,0.005,1366,8283,1.07,0.017,0.0522,0.0024,10.1766,0.2019,0.1901,0.0002,89.8234,0.2019,0.176,0.0003,8.4846,0.035,1400.0221,0.0627,5734510.0,5735000.0,
28.dat,0.005,1366,8283,1.068,0.017,0.0803,0.0018,20.0108,0.4935,0.19,0.0004,79.9892,0.4935,0.168,0.0002,8.4846,0.035,1400.0484,0.0373,5734470.0,5735000.0,
37.dat,0.005,1366,8283,1.068,0.017,0.1,0.0017,30.0903,0.9655,0.1901,0.0007,69.9097,0.9655,0.163,0.0002,8.4844,0.035,1400.0307,0.03,5734540.0,5735000.0,
46.dat,0.005,1366,8283,1.065,0.017,0.1136,0.0017,40.1196,1.6104,0.1901,0.0011,59.8804,1.6104,0.1594,0.0001,8.4848,0.035,1400.0278,0.0268,5734560.0,5735000.0,
55.dat,0.005,1366,8283,1.068,0.017,0.1226,0.0019,48.731,2.4372,0.1892,0.0016,51.269,2.4372,0.1567,0.0001,8.4857,0.035,1400.032,0.0251,5734560.0,5735000.0,
64.dat,0.005,1367,8283,1.066,0.017,0.1313,0.0019,60.2455,3.507,0.1903,0.0026,39.7545,3.507,0.1548,0.0001,8.4843,0.035,1400.0204,0.0238,5734510.0,5735000.0,
73.dat,0.005,1367,8283,1.07,0.017,0.1373,0.002,70.0882,4.7978,0.1903,0.0042,29.9118,4.7978,0.1532,0.0001,8.4852,0.035,1400.0228,0.023,5734460.0,5735000.0,
82.dat,0.005,1366,8283,1.078,0.017,0.1425,0.0019,80.9768,5.8984,0.1917,0.0075,19.0232,5.8984,0.1518,0.0001,8.487,0.035,1400.0232,0.0221,5734510.0,5735000.0,
91.dat,0.005,1366,8283,1.074,0.017,0.1472,0.0015,93.0871,4.8683,0.1998,0.018,6.9129,4.8683,0.1508,0.0001,8.4859,0.035,1400.0165,0.0211,5734520.0,5735000.0,
