Spectrum file,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table),Unnamed: 28
220_20_80.dat,0.005,1367,8284,1.07,0.017,0.1617,0.0215,10.04,7.4521,0.2174,0.0023,89.96,7.4521,0.2118,0.0002,8.4849,0.0352,1400.0406,0.0275,5734420.0,5735000.0,
220_50_50.dat,0.005,1367,8283,1.07,0.017,0.1729,0.0098,36.3268,16.3034,0.2151,0.0054,63.6732,16.3034,0.1998,0.0001,8.4856,0.0352,1400.0333,0.025,5734470.0,5735000.0,
220_80_20.dat,0.005,1367,8283,1.068,0.017,0.1772,0.0063,70.6429,23.8866,0.2133,0.0145,29.3571,23.8866,0.1878,0.0001,8.4866,0.0351,1400.032,0.0233,5734450.0,5735000.0,
280_20_80.dat,0.005,1367,8284,1.067,0.017,0.1769,0.0058,19.16,2.0739,0.2794,0.0014,80.84,2.0739,0.2598,0.0002,8.4814,0.0354,1400.0342,0.0281,5734530.0,5735000.0,
280_50_50.dat,0.005,1367,8283,1.067,0.017,0.1782,0.0022,48.6017,1.9849,0.2785,0.002,51.3983,1.9849,0.2298,0.0002,8.4827,0.0354,1400.0305,0.0248,5734530.0,5735000.0,
280_80_20.dat,0.005,1367,8283,1.066,0.017,0.1792,0.0012,79.2787,1.7079,0.2785,0.0042,20.7213,1.7079,0.1998,0.0001,8.4866,0.0354,1400.0351,0.0219,5734450.0,5735000.0,
