00001 Untitled 15:20:38.65 25-NOV-22
       5       6       9       5       9       6      11      10       9       6
       8       4       7       5       8       8       4       7      10       6
       8       6       5       9      15      10      11      15      11      11
      10       9       5      15      17       6       7       5       7      11
       7      11       8      13       4       8       7      14       7       6
      13       9      13       8       8       4       7       9      13       6
      13       7      10       3       7      11       6       8      11       7
      13       9       5      11      10       7       8      13       8       9
       3       9       7      11       4      12       9      12       8       9
       6       7       9      12       9      12       7       3      11      10
       9       8       6      11       4       5      11       8       5      11
       9       6      11      11      12       4       8      13       8       9
      15       9      15       7      10       6       9       7       7      12
       3       9      12       9       9       8       6       8       6       4
       9      14      23      12      12       9      11       8       9       5
       6      17       6       5      10       6      10      10       5       5
       7       4       7      12       5       7       8       7       9      12
       8      12      10       8       5       2       7       6       6       8
       7       5      10       5      10      10      12      11       9       3
       8      11       5       7       8       3      12       8       7      15
       9      17       6       9       7      14      10      10      11       7
       5       6       7       9       8       6       9       8      11      13
       6       9       8       7       5       7       5       6      14       6
      12       3       6       8       5      10      10       4      10       5
       5       5       6      10      15       9       7       5       9      16
       4       7       7      10       5       9       7       8      16      10
       9       9      10       9      14      11       9       8      10       3
       8       6       7      10      12       7       7       3       9       9
      11      15      14       7       8       7      10       8       7      12
      10       4      17      11      12      10      10       6       8       5
       8       8       7       9      10       5       8       6      10      13
       7      10       6      16      11      13      16      10      17       8
       8       6      12       4       8       8       2       8      13       7
      15      12      11       7       7      11       6      11       7      12
       7      12       6       5       9       8       7       5       5       9
       6       7       7      15      10       4      13       4      11       4
       6       5      10       8       6       5       8      12      10       5
      13      12       6       9      12       5       4      10       4      10
       8       5       7       9       5       8       7      12       9      11
       4       4      13       9       5      13      10      10       6      10
       9      11      11       3      11       8       6       7       3      10
      11       7       7       8      10       4      15      10       6      13
       7       9      10       7       6       9       5       3       9      15
       9      12       7       9      13       8       8      10       5       5
       8       6       9       2       9       6       7       5      12       8
       4      17       6       8      10       7       7       5      13       8
      10       4      11       7      10       7       8      11       7       9
       7       5       9       2       9      12      12       6       6      14
      11       6       8       9      12      16      11      10       9       9
      10       9      11      11       7       5      10       8       5      10
      10      11      11      14      10      11       5      10      12      10
       8       9       6       5       6      10       6      10      11       8
       7       7       9       6      15       8       5       7      11       4
       8      12       8       6       7       9      10      11      10       9
       9       9       7       6       7      12       9       9       8      10
       5       8       9       9      12      12       8       8       8       7
       7       5       9       7       4       7       9       5       8      13
      11      14       3      11      10       5       5      13       9       6
       7      12      14       6      12       6      20      10      10       4
       8       9      11      12       7       9      11       9      16      11
      15      15      12       6      11      11       6      11      14       5
       5      13       7       8       5       7       6      10      15      15
       6       8       9      11      12       6       7      10       8       4
      10       9       4       4      14       8       4       9      13      11
       9       5       9      10       9       6       8       6       8       6
       6      10      10       9       8       4       7       6       8       7
       7       9       5       5      11       9       7      11       6      13
      11       7       8       3      11       9       6       3      11      11
       7       8       8      18       6       8       9       4       9       8
      11       8       5      13       8       8       9      12      15      10
       5      11      11       9       7       5      11      12       7       7
      13       4      14       8       9       9      14       8       9       9
       8       4       8       9      13      15       9      10       5       8
       8       7       8       7       8       4       6       7       7       9
       7      10      12       7      12      13       9       4      14       6
       9       6       7       7      15       6      13       7      10       6
      10      10       6       7       9      11       8       7       6       6
