Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
180,20,180,80,1.0,0.005,1386,8282,1.07,0.017,0.1516,0.0171,22.7606,26.6672,0.1805,0.005,77.2394,26.6672,0.1739,0.0001,8.4845,0.035,1400.0086,0.0125,5734630.0,5735000.0
180,50,180,50,1.0,0.005,1386,8282,1.067,0.017,0.1504,0.0064,51.9935,21.8886,0.1806,0.0069,48.0065,21.8886,0.1649,0.0001,8.4854,0.035,1400.01,0.012,5734600.0,5735000.0
180,80,180,20,1.0,0.005,1386,8282,1.069,0.017,0.1518,0.002,89.9657,8.6763,0.1925,0.0175,10.0343,8.6763,0.1559,0.0001,8.4858,0.035,1400.0086,0.0112,5734600.0,5735000.0
180,20,190,80,1.0555555555555556,0.005,1386,8282,1.067,0.017,0.1509,0.011,21.2458,11.7657,0.1903,0.003,78.7542,11.7657,0.1819,0.0001,8.484,0.035,1400.0083,0.0128,5734690.0,5735000.0
180,50,190,50,1.0555555555555556,0.005,1386,8282,1.066,0.017,0.1495,0.0042,49.2936,10.2147,0.1897,0.0041,50.7064,10.2147,0.1699,0.0001,8.4849,0.035,1400.0107,0.0121,5734620.0,5735000.0
180,80,190,20,1.0555555555555556,0.005,1386,8282,1.072,0.017,0.151,0.0019,84.619,6.8236,0.1958,0.01,15.381,6.8236,0.1579,0.0001,8.4859,0.035,1400.009,0.0113,5734610.0,5735000.0
180,20,200,80,1.1111111111111112,0.005,1386,8282,1.071,0.017,0.1505,0.0079,20.6382,6.5637,0.2002,0.0021,79.3618,6.5637,0.1899,0.0001,8.4834,0.0351,1400.0092,0.013,5734630.0,5735000.0
180,50,200,50,1.1111111111111112,0.005,1386,8282,1.074,0.017,0.1493,0.003,48.8848,5.7835,0.1994,0.0029,51.1152,5.7835,0.1749,0.0001,8.4845,0.035,1400.0125,0.0122,5734580.0,5735000.0
180,80,200,20,1.1111111111111112,0.005,1386,8282,1.073,0.017,0.1506,0.0015,82.4221,4.4057,0.2036,0.0067,17.5779,4.4057,0.1599,0.0001,8.4857,0.035,1400.0099,0.0113,5734600.0,5735000.0
180,20,210,80,1.1666666666666667,0.005,1386,8282,1.07,0.017,0.1506,0.0061,20.631,4.2474,0.2102,0.0017,79.369,4.2474,0.1979,0.0001,8.4832,0.0351,1400.0085,0.0132,5734650.0,5735000.0
180,50,210,50,1.1666666666666667,0.005,1386,8282,1.067,0.017,0.1492,0.0023,49.0117,3.704,0.2094,0.0023,50.9883,3.704,0.1799,0.0001,8.4842,0.0351,1400.0131,0.0122,5734600.0,5735000.0
180,80,210,20,1.1666666666666667,0.005,1386,8282,1.07,0.017,0.1504,0.0012,81.4395,2.9302,0.2126,0.005,18.5605,2.9302,0.1619,0.0001,8.4856,0.035,1400.0107,0.0112,5734620.0,5735000.0
180,20,220,80,1.2222222222222223,0.005,1386,8282,1.069,0.017,0.1507,0.005,20.5897,2.9681,0.2202,0.0014,79.4103,2.9681,0.2059,0.0001,8.4829,0.0351,1400.0091,0.0134,5734670.0,5735000.0
180,50,220,50,1.2222222222222223,0.005,1386,8282,1.072,0.017,0.1493,0.0019,49.2957,2.5739,0.2194,0.0019,50.7043,2.5739,0.1849,0.0001,8.4839,0.0351,1400.0136,0.0123,5734590.0,5735000.0
180,80,220,20,1.2222222222222223,0.005,1386,8282,1.073,0.017,0.1502,0.001,80.8314,2.0729,0.2218,0.004,19.1686,2.0729,0.1639,0.0001,8.4854,0.0351,1400.0119,0.0112,5734600.0,5735000.0
180,20,230,80,1.2777777777777777,0.005,1386,8282,1.073,0.017,0.1508,0.0042,20.585,2.1973,0.2303,0.0012,79.415,2.1973,0.2139,0.0001,8.4826,0.0352,1400.009,0.0136,5734660.0,5735000.0
180,50,230,50,1.2777777777777777,0.005,1386,8282,1.074,0.017,0.1494,0.0016,49.4826,1.896,0.2295,0.0016,50.5174,1.896,0.1899,0.0001,8.4836,0.0351,1400.0144,0.0124,5734580.0,5735000.0
180,80,230,20,1.2777777777777777,0.005,1386,8282,1.075,0.017,0.1501,0.0008,80.5108,1.5319,0.2313,0.0033,19.4892,1.5319,0.1659,0.0001,8.4853,0.0351,1400.0126,0.0112,5734670.0,5735000.0
