Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
180,20,180,80,1.0,0.005,1377,8283,1.075,0.017,0.1423,0.0196,13.5244,14.2525,0.1788,0.003,86.4756,14.2525,0.1739,0.0001,8.4858,0.035,1400.022,0.0185,5734550.0,5735000.0
180,50,180,50,1.0,0.005,1377,8283,1.073,0.017,0.1483,0.0079,45.8526,23.1313,0.1789,0.0065,54.1474,23.1313,0.1649,0.0001,8.4862,0.035,1400.0176,0.0172,5734580.0,5735000.0
180,80,180,20,1.0,0.005,1377,8282,1.068,0.017,0.1513,0.0026,87.9729,11.7109,0.1892,0.0182,12.0271,11.7109,0.1559,0.0001,8.4863,0.035,1400.0139,0.0159,5734570.0,5735000.0
180,20,190,80,1.0555555555555556,0.005,1377,8283,1.072,0.017,0.1448,0.0124,16.3539,8.9235,0.1891,0.0024,83.6461,8.9235,0.1819,0.0001,8.4853,0.035,1400.0215,0.0187,5734580.0,5735000.0
180,50,190,50,1.0555555555555556,0.005,1377,8283,1.067,0.017,0.1482,0.0049,46.5756,10.9389,0.1887,0.0041,53.4244,10.9389,0.1699,0.0001,8.4856,0.035,1400.0185,0.0173,5734590.0,5735000.0
180,80,190,20,1.0555555555555556,0.005,1377,8282,1.069,0.017,0.1504,0.0023,82.5979,8.4369,0.1933,0.0103,17.4021,8.4369,0.1579,0.0001,8.4862,0.035,1400.0156,0.0159,5734580.0,5735000.0
180,20,200,80,1.1111111111111112,0.005,1377,8283,1.073,0.017,0.146,0.0089,17.7353,5.7411,0.1993,0.0019,82.2647,5.7411,0.1899,0.0001,8.4847,0.0351,1400.0232,0.0189,5734550.0,5735000.0
180,50,200,50,1.1111111111111112,0.005,1377,8282,1.07,0.017,0.1483,0.0034,47.3696,6.2385,0.1987,0.003,52.6304,6.2385,0.1749,0.0001,8.4847,0.035,1400.0195,0.0174,5734560.0,5735000.0
180,80,200,20,1.1111111111111112,0.005,1377,8282,1.072,0.017,0.15,0.0017,80.9318,5.2079,0.2016,0.007,19.0682,5.2079,0.1599,0.0001,8.486,0.035,1400.0173,0.0159,5734550.0,5735000.0
180,20,210,80,1.1666666666666667,0.005,1378,8283,1.072,0.017,0.1469,0.0069,18.5963,3.9692,0.2095,0.0016,81.4037,3.9692,0.1979,0.0001,8.4843,0.0351,1400.0236,0.0194,5734570.0,5735000.0
180,50,210,50,1.1666666666666667,0.005,1377,8282,1.068,0.017,0.1485,0.0026,47.9855,4.0031,0.2088,0.0024,52.0145,4.0031,0.1798,0.0001,8.4844,0.0351,1400.0214,0.0174,5734530.0,5735000.0
180,80,210,20,1.1666666666666667,0.005,1377,8282,1.069,0.017,0.1499,0.0013,80.5172,3.3435,0.2112,0.0053,19.4828,3.3435,0.1619,0.0001,8.486,0.035,1400.0182,0.0158,5734540.0,5735000.0
180,20,220,80,1.2222222222222223,0.005,1378,8283,1.071,0.017,0.1479,0.0056,19.2673,2.921,0.2197,0.0014,80.7327,2.921,0.2059,0.0001,8.4839,0.0351,1400.0225,0.0196,5734600.0,5735000.0
180,50,220,50,1.2222222222222223,0.005,1377,8282,1.068,0.017,0.1487,0.0021,48.6139,2.7874,0.219,0.002,51.3861,2.7874,0.1848,0.0001,8.4841,0.0351,1400.0215,0.0175,5734550.0,5735000.0
180,80,220,20,1.2222222222222223,0.005,1377,8282,1.076,0.017,0.1498,0.0011,80.198,2.3218,0.2207,0.0042,19.802,2.3218,0.1639,0.0001,8.4859,0.0351,1400.0195,0.0157,5734540.0,5735000.0
180,20,230,80,1.2777777777777777,0.005,1378,8283,1.07,0.017,0.1485,0.0047,19.5814,2.2208,0.2298,0.0012,80.4186,2.2208,0.2139,0.0001,8.4828,0.0352,1400.0217,0.0199,5734570.0,5735000.0
180,50,230,50,1.2777777777777777,0.005,1377,8283,1.076,0.017,0.1489,0.0018,48.9699,2.0529,0.2291,0.0017,51.0301,2.0529,0.1898,0.0001,8.4843,0.0352,1400.0222,0.0175,5734540.0,5735000.0
180,80,230,20,1.2777777777777777,0.005,1377,8282,1.072,0.017,0.1498,0.0009,80.0409,1.6994,0.2304,0.0035,19.9591,1.6994,0.1659,0.0001,8.4859,0.0351,1400.0207,0.0156,5734530.0,5735000.0
